Epoch,TrainingError,TestError
1,0.8302920818348308,0.832026946801359
2,0.7245380197275152,0.7231957284836187
3,0.7490992374733623,0.7503635151931601
4,0.8590617820463332,0.8585081738680602
5,0.8881368063325148,0.8922218956758755
6,0.7634376177061135,0.7619776109279007
7,0.6860507998757588,0.6814203860615793
8,0.7707303826304438,0.7748107017231025
9,0.7623766623984508,0.7652692318645321
10,0.6631739262041906,0.6633866817045126
11,0.7113578211178044,0.7087126966025178
12,0.7499050182389387,0.7521980509618508
13,0.6550733974851357,0.6569100305562665
14,0.7303697016442506,0.7322108516803365
15,0.6807432876495397,0.6849127799159372
16,0.6130803994771421,0.6132196520718421
17,0.6703496275392586,0.6676432030372477
18,0.6978366644425741,0.700250086304018
19,0.6391262313523076,0.6415394403970436
20,0.6002840448879032,0.5989214006076479
21,0.567994373345453,0.5668570554098711
22,0.5916861375826762,0.5902040296441395
23,0.5748568312683319,0.576800453988397
24,0.6229625912092319,0.6278713813204402
25,0.6100729525909971,0.6100842505909962
26,0.5505981507067624,0.5489119310618198
27,0.5540933231208858,0.5522340509220413
28,0.5460389018902944,0.5454472624040639
29,0.5244577717490686,0.5261699329885536
30,0.5470918751310732,0.5474387189913587
31,0.5084701715977401,0.507647671334492
32,0.4892902710609824,0.4891490141547537
33,0.5154518040187297,0.5164156429766851
34,0.48050045617754855,0.4828678861195024
35,0.4493148980669806,0.4458487993457106
36,0.447236372135503,0.4479972772815069
37,0.45152399521282893,0.4494578025517924
38,0.4374289347705339,0.439163073314034
39,0.4305759458859682,0.43055242520194564
40,0.4223531220221013,0.4204353024002563
41,0.401536610171669,0.4008027623853571
42,0.40366123940578663,0.4037264544264076
43,0.4108008178607026,0.40798062289150094
44,0.3744233259139609,0.37680577666028714
45,0.37502477091417374,0.37456938669356143
46,0.3537257642073422,0.35449871258807597
47,0.35985820957792786,0.36126803296121096
48,0.329158276540609,0.3288334961585507
49,0.3310412063099297,0.33296775730151734
50,0.33088987368607636,0.3337171975728967
51,0.32596943238278125,0.3249694563288873
52,0.31755200462529126,0.317553976871557
53,0.3155633150502961,0.3171029714895904
54,0.30446352232016366,0.30670970655045793
55,0.2944437815376913,0.29588468479822105
56,0.2836056353956414,0.2849203295251921
57,0.27705372867683564,0.27706941018343634
58,0.2769605647243516,0.2784719512357984
59,0.2686794365676975,0.27174781403080656
60,0.25616081964502746,0.25800497217266866
61,0.25270712725706856,0.2525519020439419
62,0.24047198081204088,0.24219186318678548
63,0.2367138776546648,0.23755014481047437
64,0.2352350342932495,0.2349585957540509
65,0.2214261565944301,0.22429239593695463
66,0.21847404596646217,0.22194336447941385
67,0.2124308501980721,0.21610014831146845
68,0.21192159496615526,0.2157526111810941
69,0.2032769350653506,0.20641480389932984
70,0.19727729642101688,0.2025751571652472
71,0.19072174958444243,0.1956616383111029
72,0.1835399022660467,0.18871449179184077
73,0.17696214881432032,0.18150347939483472
74,0.17173412899166338,0.17739546398263112
75,0.16919535428329596,0.17309987874674296
76,0.163553843116072,0.16857880765154976
77,0.1591269880660819,0.1651915155640452
78,0.15335835847697266,0.15902409928808436
79,0.14821642805888352,0.156539103172681
80,0.14321005404925205,0.150275058466907
81,0.14068907327654423,0.1485557152440909
82,0.13436685244547228,0.1422235737845789
83,0.1314608499962611,0.14070770446579814
84,0.12667481318077126,0.13698672887813693
85,0.12320282409927748,0.13286078834661424
86,0.12020642849346776,0.12997925125930643
87,0.11608707310598951,0.12664399181013788
88,0.11160840502555477,0.12239238842143846
89,0.1085999936711971,0.12004616660274206
90,0.10493529033576839,0.11721556277790583
91,0.10183435781503505,0.11541900650268029
92,0.09885743610452433,0.1133160447922817
93,0.09432829623131461,0.10862904147896721
94,0.09216766449117238,0.10734628993167179
95,0.08837475758986708,0.10462407326869971
96,0.08544091068546841,0.1019334397072501
97,0.08232544854003418,0.10011596768346283
98,0.07903992275523755,0.09746403749068439
99,0.07594277519457,0.09580141577016273
100,0.07311765658240936,0.09423505268029
